Geneid	Chr	Start	End	Strand	Length	../hyb2/mark_duplicates/hyb2.sorted.markdup.bam	../tar3/mark_duplicates/tar3.sorted.markdup.bam	../hyb1/mark_duplicates/hyb1.sorted.markdup.bam	../tar2/mark_duplicates/tar2.sorted.markdup.bam	../hyb3/mark_duplicates/hyb3.sorted.markdup.bam	../tar1/mark_duplicates/tar1.sorted.markdup.bam
gene-LtaPh_3442300	BLBS01000054.1	1648973	1653433	+	4461	1737	4213	3398	2662	375	8553
gene-LtaPh_3442400	BLBS01000054.1	1654331	1655284	+	954	648	1386	1309	1006	153	2946
gene-LtaPh_3442600	BLBS01000054.1	1658437	1659234	+	798	402	879	707	725	91	1902
gene-LtaPh_3442700	BLBS01000054.1	1660557	1664147	+	3591	1596	4139	2946	2871	387	7486
gene-LtaPh_3442711	BLBS01000054.1	1665329	1665799	-	471	0	1	1	2	0	1
gene-LtaPh_1709400	BLBS01000054.1	1665337	1665675	+	339	600	1215	1016	796	168	1549
gene-LtaPh_2716500	BLBS01000054.1	1666361	1667023	+	663	980	1952	1758	1354	309	3165
gene-LtaPh_3442721	BLBS01000054.1	1667753	1668130	-	378	1	2	0	3	0	1
gene-LtaPh_3442731	BLBS01000054.1	1667761	1668099	+	339	569	1060	964	694	176	1573
gene-LtaPh_3442741	BLBS01000054.1	1668660	1669349	+	690	749	1625	1232	1070	209	2443
gene-LtaPh_3442751	BLBS01000054.1	1669891	1670553	+	663	967	1942	1735	1306	295	3301
gene-LtaPh_3442800	BLBS01000054.1	1672059	1679375	+	7317	2202	5235	3986	3207	430	9222
gene-LtaPh_3442900	BLBS01000054.1	1680297	1680623	+	327	185	496	377	384	80	1045
gene-LtaPh_3443000	BLBS01000054.1	1680844	1682280	+	1437	1716	3370	2996	2211	413	6761
gene-LtaPh_3443100	BLBS01000054.1	1683275	1684447	+	1173	1107	2633	1960	1719	270	4835
gene-LtaPh_3443200	BLBS01000054.1	1685984	1686343	+	360	711	1213	1091	853	164	2061
gene-LtaPh_3443300	BLBS01000054.1	1687328	1688305	+	978	915	1248	1561	868	179	2349
gene-LtaPh_3443400	BLBS01000054.1	1689956	1691032	+	1077	332	776	609	420	84	1354
gene-LtaPh_3443500	BLBS01000054.1	1691731	1692570	+	840	1232	1738	2470	1495	303	4299
gene-LtaPh_3443600	BLBS01000054.1	1693304	1694971	+	1668	405	1087	702	564	88	1799
gene-LtaPh_3443700	BLBS01000054.1	1695968	1698373	+	2406	2248	3857	4167	3020	478	9282
gene-LtaPh_3500201	BLBS01000055.1	2881	3285	+	405	8	18	15	22	5	34
gene-LtaPh_3500400	BLBS01000055.1	3790	4971	-	1182	1626	2844	2851	1788	386	4589
gene-LtaPh_3500951	BLBS01000055.1	6724	8586	-	1863	2194	4048	3862	2755	568	6906
gene-LtaPh_3501500	BLBS01000055.1	8885	11074	-	2190	827	2054	1596	1186	164	3492
gene-LtaPh_3501600	BLBS01000055.1	12327	13427	-	1101	1223	2922	2010	1558	248	4110
gene-LtaPh_3501800	BLBS01000055.1	18907	19824	-	918	786	2150	1476	1234	213	2711
gene-LtaPh_3501900	BLBS01000055.1	20808	22550	-	1743	619	1769	1119	1294	138	3945
gene-LtaPh_3502000	BLBS01000055.1	23467	24372	-	906	430	739	875	770	88	1859
gene-LtaPh_3502100	BLBS01000055.1	25458	26066	-	609	3153	6880	5401	4939	935	12681
gene-LtaPh_3502200	BLBS01000055.1	26916	27470	-	555	450	994	839	579	122	1609
gene-LtaPh_3502300	BLBS01000055.1	28234	29583	-	1350	368	1246	911	679	129	1960
gene-LtaPh_3502400	BLBS01000055.1	30267	30827	-	561	472	1435	876	753	120	1717
gene-LtaPh_3502500	BLBS01000055.1	31692	32051	-	360	1101	3231	1453	1942	360	3500
gene-LtaPh_3502600	BLBS01000055.1	32711	33583	-	873	427	1113	865	542	124	1339
gene-LtaPh_3502700	BLBS01000055.1	34395	35534	-	1140	324	1031	581	485	117	1164
gene-LtaPh_3502800	BLBS01000055.1	35845	36840	-	996	555	720	1013	813	175	2092
gene-LtaPh_3502900	BLBS01000055.1	37608	40196	-	2589	972	1898	1272	1124	303	3529
gene-LtaPh_3503000	BLBS01000055.1	42618	43340	+	723	614	1765	1008	1013	200	2321
gene-LtaPh_3503100	BLBS01000055.1	45010	51417	+	6408	1659	6682	3413	2089	421	7135
gene-LtaPh_3503200	BLBS01000055.1	52381	52602	+	222	269	831	562	423	80	1291
gene-LtaPh_3503300	BLBS01000055.1	53574	54365	+	792	468	955	1169	499	124	1921
gene-LtaPh_3503400	BLBS01000055.1	55373	56476	+	1104	985	1298	1064	915	237	2796
gene-LtaPh_3503500	BLBS01000055.1	59369	59683	+	315	7315	23483	10505	19633	2445	35267
gene-LtaPh_3503600	BLBS01000055.1	60477	62633	+	2157	1218	4487	2497	1762	339	5162
gene-LtaPh_3503700	BLBS01000055.1	63073	64950	+	1878	1249	3301	2324	1794	285	5102
gene-LtaPh_3503800	BLBS01000055.1	65845	66078	+	234	210	411	390	249	57	764
gene-LtaPh_3504161	BLBS01000055.1	70299	76004	+	5706	1889	5441	3120	3095	401	6386
gene-LtaPh_3504521	BLBS01000055.1	76853	77935	-	1083	3	2	2	0	0	0
gene-LtaPh_3504900	BLBS01000055.1	76859	77857	+	999	562	1113	1244	671	123	2046
gene-LtaPh_3505000	BLBS01000055.1	79067	80347	+	1281	918	2632	1513	1657	206	3763
gene-LtaPh_3505100	BLBS01000055.1	81663	83294	+	1632	2090	5444	3485	5063	322	10714
gene-LtaPh_3505200	BLBS01000055.1	86639	87655	+	1017	990	2361	1538	1417	239	3134
gene-LtaPh_3505300	BLBS01000055.1	88388	89878	+	1491	1563	3732	2367	2064	410	5619
gene-LtaPh_3505400	BLBS01000055.1	90643	92742	+	2100	1044	2838	1716	1616	255	4132
gene-LtaPh_3505500	BLBS01000055.1	93845	94738	+	894	902	2000	1201	1240	191	2940
gene-LtaPh_3505600	BLBS01000055.1	95410	96627	+	1218	6513	13396	9719	5713	1324	18892
gene-LtaPh_3505700	BLBS01000055.1	101922	103757	+	1836	340	1143	458	723	75	1805
gene-LtaPh_3505900	BLBS01000055.1	113116	114759	+	1644	723	1900	1122	1212	152	3140
gene-LtaPh_3505931	BLBS01000055.1	115380	116411	+	1032	12370	36825	19179	46888	4237	51167
gene-LtaPh_3505961	BLBS01000055.1	117499	118293	+	795	11358	31587	17279	42089	3798	45699
gene-LtaPh_3506000	BLBS01000055.1	119108	120880	+	1773	1174	1664	1972	1275	199	4037
gene-LtaPh_3506100	BLBS01000055.1	122809	124722	+	1914	1914	2799	2979	1647	265	4831
gene-LtaPh_3506200	BLBS01000055.1	128647	131394	+	2748	1211	565	1642	607	180	1905
gene-LtaPh_3506300	BLBS01000055.1	136679	137566	+	888	261	664	383	510	36	1592
gene-LtaPh_3506400	BLBS01000055.1	141301	146328	+	5028	2774	10535	4300	6469	516	17365
gene-LtaPh_3506700	BLBS01000056.1	289	948	+	660	317	336	695	113	49	293
gene-LtaPh_3506900	BLBS01000056.1	20771	23935	+	3165	2126	3978	4327	2313	400	8295
gene-LtaPh_3507000	BLBS01000056.1	24991	31377	+	6387	2574	7864	4929	4219	557	13787
gene-LtaPh_3507100	BLBS01000056.1	33043	33717	+	675	1357	3317	2569	3023	306	8219
gene-LtaPh_3507200	BLBS01000056.1	34772	37192	+	2421	482	1126	736	794	111	2132
gene-LtaPh_3507261	BLBS01000056.1	37738	38514	-	777	11	59	18	33	2	53
gene-LtaPh_3507321	BLBS01000056.1	37840	38379	+	540	9044	31062	15734	26624	3335	45006
gene-LtaPh_3507400	BLBS01000056.1	39580	47133	+	7554	3637	8729	7176	4561	821	14914
gene-LtaPh_3507500	BLBS01000056.1	47949	49082	+	1134	1048	1927	1918	1579	313	4978
gene-LtaPh_3507600	BLBS01000056.1	49676	51469	+	1794	891	3180	1873	1999	288	4808
gene-LtaPh_3507700	BLBS01000056.1	53717	54139	+	423	315	542	580	558	44	1881
gene-LtaPh_3507800	BLBS01000056.1	55918	59733	+	3816	1262	5080	2304	1869	339	6298
gene-LtaPh_3507900	BLBS01000056.1	60418	73008	+	12591	3113	16077	6222	6801	781	19362
gene-LtaPh_3508000	BLBS01000056.1	74478	79118	+	4641	2526	5995	4621	3230	569	11447
gene-LtaPh_3508100	BLBS01000056.1	79687	81789	+	2103	1035	2315	2325	2083	283	7107
gene-LtaPh_3508200	BLBS01000056.1	82182	83279	+	1098	1158	2562	2310	1777	292	4771
gene-LtaPh_3508300	BLBS01000056.1	84943	86541	+	1599	779	2066	1485	1115	182	4284
gene-LtaPh_3508400	BLBS01000056.1	89052	90587	+	1536	716	1562	1229	986	150	2846
gene-LtaPh_3508500	BLBS01000056.1	91247	93448	+	2202	969	2824	1840	1243	240	4200
gene-LtaPh_3508600	BLBS01000056.1	95468	98221	+	2754	908	3929	1819	1762	238	5477
gene-LtaPh_3508700	BLBS01000056.1	98236	99450	+	1215	2201	5960	3942	3296	631	8457
gene-LtaPh_3508800	BLBS01000056.1	101444	102892	+	1449	750	2011	1494	1501	158	3906
gene-LtaPh_3508900	BLBS01000056.1	104304	106199	+	1896	640	1048	1178	908	138	2725
gene-LtaPh_3509000	BLBS01000056.1	107466	108278	+	813	524	1000	849	568	102	2289
gene-LtaPh_3509100	BLBS01000056.1	110298	112121	+	1824	1148	2387	1958	1697	317	3523
gene-LtaPh_3509200	BLBS01000056.1	114763	117732	+	2970	2180	3993	4012	1699	384	5490
gene-LtaPh_3509300	BLBS01000056.1	121451	126145	+	4695	2401	6542	4550	3347	516	11044
gene-LtaPh_3509400	BLBS01000056.1	126785	128023	+	1239	1336	4379	2578	2088	385	5862
gene-LtaPh_3509500	BLBS01000056.1	132852	136586	+	3735	2047	3752	4698	1597	366	4841
gene-LtaPh_3509600	BLBS01000056.1	137498	138814	+	1317	1012	2919	1492	1405	231	3334
gene-LtaPh_3509700	BLBS01000056.1	139571	141574	+	2004	1532	3059	2771	1664	393	4262
gene-LtaPh_3509800	BLBS01000056.1	141967	143211	+	1245	267	1387	514	499	62	1588
gene-LtaPh_3509851	BLBS01000056.1	142110	143243	-	1134	1	0	1	1	1	5
gene-LtaPh_3509900	BLBS01000056.1	143774	146545	+	2772	1292	1894	2364	1046	343	2674
gene-LtaPh_3510000	BLBS01000056.1	147009	148772	+	1764	686	1634	1171	866	205	2432
gene-LtaPh_3510100	BLBS01000056.1	149273	149770	+	498	269	865	650	313	110	948
gene-LtaPh_3510300	BLBS01000056.1	150644	151348	+	705	840	2666	1660	1226	314	3029
gene-LtaPh_3510400	BLBS01000056.1	153254	159022	+	5769	1529	4586	2975	1984	363	5728
gene-LtaPh_3510500	BLBS01000056.1	160605	164480	+	3876	1046	3674	1938	1883	254	5984
gene-LtaPh_3510600	BLBS01000056.1	167606	168334	+	729	205	650	422	289	59	877
gene-LtaPh_3510700	BLBS01000056.1	169442	170185	+	744	515	907	980	569	150	1409
gene-LtaPh_3510800	BLBS01000056.1	172073	173305	+	1233	384	1605	649	731	79	1916
gene-LtaPh_3510900	BLBS01000056.1	177003	179420	+	2418	638	1622	1198	650	141	2083
gene-LtaPh_3511000	BLBS01000056.1	182876	184006	+	1131	634	1064	898	950	129	3372
gene-LtaPh_3511100	BLBS01000056.1	186566	189157	+	2592	2285	3287	3810	1625	367	4872
gene-LtaPh_3511200	BLBS01000056.1	190273	191265	+	993	571	869	919	624	104	3290
gene-LtaPh_3511300	BLBS01000056.1	193901	194965	+	1065	937	1883	1511	1488	191	4284
gene-LtaPh_3511400	BLBS01000056.1	203488	204762	+	1275	22	151	36	209	10	540
gene-LtaPh_3511500	BLBS01000056.1	216537	217469	+	933	176	454	215	340	42	983
gene-LtaPh_3511600	BLBS01000056.1	230263	231756	+	1494	1136	2710	1770	3330	167	7433
gene-LtaPh_3511700	BLBS01000056.1	234323	236086	+	1764	661	1422	1174	992	158	2509
gene-LtaPh_3511800	BLBS01000056.1	237239	239695	+	2457	716	1977	1208	1535	163	3560
gene-LtaPh_3511901	BLBS01000056.1	240953	244123	+	3171	1028	2894	2073	2095	222	5706
gene-LtaPh_3512000	BLBS01000056.1	245469	247550	+	2082	626	1668	790	1103	150	3023
gene-LtaPh_3512200	BLBS01000056.1	249060	250088	+	1029	617	954	943	778	122	2121
gene-LtaPh_3512300	BLBS01000056.1	252006	252413	+	408	674	1792	1324	941	211	3059
gene-LtaPh_3512351	BLBS01000056.1	255355	257829	+	2475	5278	12213	8824	6125	1337	17370
gene-LtaPh_3512401	BLBS01000056.1	260480	262945	+	2466	6533	14574	10882	7368	1550	21361
gene-LtaPh_3512451	BLBS01000056.1	260636	261259	-	624	0	2	1	0	1	1
gene-LtaPh_3512500	BLBS01000056.1	263998	265815	+	1818	1004	2300	1533	1447	239	4028
gene-LtaPh_3512600	BLBS01000056.1	266667	270110	+	3444	1044	2092	1970	1286	306	4059
gene-LtaPh_3512800	BLBS01000056.1	280440	282680	+	2241	1383	2815	2404	1822	348	4500
gene-LtaPh_3512900	BLBS01000056.1	282955	283773	+	819	1357	3089	2468	2324	449	5324
gene-LtaPh_3513000	BLBS01000056.1	284351	285052	+	702	575	2028	998	1156	184	2795
gene-LtaPh_3513100	BLBS01000056.1	285394	286419	+	1026	919	2592	1659	1575	234	3625
gene-LtaPh_3513200	BLBS01000056.1	288636	291176	+	2541	727	2768	1119	1082	255	3066
gene-LtaPh_3513300	BLBS01000056.1	291986	292672	+	687	360	1445	804	737	130	1698
gene-LtaPh_3513400	BLBS01000056.1	293854	294939	+	1086	778	2013	1580	1098	207	3418
gene-LtaPh_3513500	BLBS01000056.1	296107	297177	+	1071	653	1533	1228	762	145	2037
gene-LtaPh_3513600	BLBS01000056.1	297861	298817	+	957	522	1479	855	810	119	1858
gene-LtaPh_3513700	BLBS01000056.1	299678	300427	+	750	326	1160	687	514	76	1514
gene-LtaPh_3513800	BLBS01000056.1	301818	302264	+	447	1723	3219	2535	2445	346	6353
gene-LtaPh_3513900	BLBS01000056.1	306177	311219	+	5043	1231	2907	2584	1663	261	5934
gene-LtaPh_3514000	BLBS01000056.1	312165	313868	+	1704	1253	2839	2552	2148	305	6417
gene-LtaPh_3514100	BLBS01000056.1	314531	315526	+	996	277	628	493	405	67	922
gene-LtaPh_3514200	BLBS01000056.1	316311	317315	+	1005	195	697	359	400	71	940
gene-LtaPh_3514300	BLBS01000056.1	319264	320811	+	1548	442	1269	854	688	84	2014
gene-LtaPh_3514400	BLBS01000056.1	323553	323915	+	363	922	757	1332	605	146	2026
gene-LtaPh_3514500	BLBS01000056.1	325060	326532	+	1473	3398	9084	5533	4898	1047	11307
gene-LtaPh_3514600	BLBS01000056.1	329849	331900	+	2052	854	2010	1155	2037	142	4934
gene-LtaPh_3514700	BLBS01000056.1	334471	335172	+	702	294	888	567	495	68	1293
gene-LtaPh_3514751	BLBS01000056.1	334483	335235	-	753	0	3	1	1	0	3
gene-LtaPh_3514800	BLBS01000056.1	336408	338774	+	2367	2904	7613	4483	4086	640	10427
gene-LtaPh_3514900	BLBS01000056.1	340554	342437	+	1884	1286	3530	2183	1744	292	5277
gene-LtaPh_3514951	BLBS01000056.1	345346	345999	-	654	13	53	21	98	4	49
gene-LtaPh_3515001	BLBS01000056.1	345352	346134	+	783	8633	18094	9452	31010	2245	23221
gene-LtaPh_3515051	BLBS01000056.1	347709	348362	-	654	20	61	28	88	4	43
gene-LtaPh_3515101	BLBS01000056.1	347715	348497	+	783	8497	17830	9259	31346	2199	22981
gene-LtaPh_3515151	BLBS01000056.1	351828	361094	+	9267	3916	7411	6369	4730	746	13056
gene-LtaPh_3515200	BLBS01000056.1	361988	362977	+	990	1013	1840	1261	1002	208	2573
gene-LtaPh_3515300	BLBS01000056.1	367150	369147	+	1998	2291	4772	3417	6063	356	15261
gene-LtaPh_3515400	BLBS01000056.1	375273	376262	-	990	1076	1766	1292	1452	177	4655
gene-LtaPh_3515500	BLBS01000056.1	380101	381225	-	1125	849	1418	1456	1101	177	2675
gene-LtaPh_3515600	BLBS01000056.1	384548	386344	-	1797	1888	3554	2687	2258	388	6844
gene-LtaPh_3515700	BLBS01000056.1	388828	391374	-	2547	1338	2704	2153	1918	252	5451
gene-LtaPh_3515800	BLBS01000056.1	391820	392995	-	1176	2272	3323	3473	1880	386	5121
gene-LtaPh_3515900	BLBS01000056.1	395874	396767	-	894	3917	7830	5346	5656	960	11688
gene-LtaPh_3516000	BLBS01000056.1	397607	399787	-	2181	886	941	1341	731	129	2292
gene-LtaPh_3516100	BLBS01000056.1	400347	406133	-	5787	1837	2780	2719	1872	307	4890
gene-LtaPh_3516200	BLBS01000056.1	407152	408393	-	1242	1331	2346	2139	1493	353	3107
gene-LtaPh_3516300	BLBS01000056.1	410181	410636	-	456	187	362	295	223	38	811
gene-LtaPh_3516400	BLBS01000056.1	411213	412916	-	1704	756	884	1346	492	125	1465
gene-LtaPh_3516500	BLBS01000056.1	415129	417474	-	2346	862	1955	1424	1034	173	2794
gene-LtaPh_3516600	BLBS01000056.1	418318	421152	-	2835	890	2425	1348	965	179	2625
gene-LtaPh_3516700	BLBS01000056.1	423453	429284	-	5832	976	2402	1705	1195	234	3273
gene-LtaPh_3516800	BLBS01000056.1	432229	433617	-	1389	311	392	474	270	53	1003
gene-LtaPh_3516900	BLBS01000056.1	434566	435621	-	1056	366	779	649	478	95	1186
gene-LtaPh_3517000	BLBS01000056.1	436846	438837	-	1992	642	1655	1159	685	165	2559
gene-LtaPh_3517100	BLBS01000056.1	440121	442646	-	2526	1136	4046	1944	1621	298	4411
gene-LtaPh_3517161	BLBS01000056.1	443738	444322	+	585	17	45	29	83	5	79
gene-LtaPh_3517221	BLBS01000056.1	443864	444295	-	432	5947	14911	8106	22460	1881	21791
gene-LtaPh_3517300	BLBS01000056.1	445288	446121	-	834	271	481	441	242	75	745
gene-LtaPh_3517400	BLBS01000056.1	446897	448132	-	1236	366	1109	783	540	90	1522
gene-LtaPh_3517500	BLBS01000056.1	449113	450201	-	1089	356	1358	851	689	112	1939
gene-LtaPh_3517600	BLBS01000056.1	452495	453829	-	1335	535	1874	1146	684	177	2021
gene-LtaPh_3517700	BLBS01000056.1	455463	456581	-	1119	935	1928	1911	1134	191	3760
gene-LtaPh_3517800	BLBS01000056.1	458739	462233	-	3495	1792	5013	3364	2373	468	7279
gene-LtaPh_3517900	BLBS01000056.1	462777	463070	-	294	629	1086	1268	715	195	1968
gene-LtaPh_3517951	BLBS01000056.1	462808	463047	+	240	0	0	2	0	0	0
gene-LtaPh_3518000	BLBS01000056.1	463428	464858	-	1431	618	810	979	481	139	1237
gene-LtaPh_3518100	BLBS01000056.1	466106	466591	+	486	940	1662	1932	1185	215	4115
gene-LtaPh_3518200	BLBS01000056.1	467294	468034	+	741	977	2170	1655	1258	246	2944
gene-LtaPh_3518300	BLBS01000056.1	468495	469133	+	639	485	1004	847	505	162	1099
gene-LtaPh_3518400	BLBS01000056.1	469561	471216	+	1656	406	1406	703	475	120	1247
gene-LtaPh_3518500	BLBS01000056.1	472331	473590	+	1260	402	1367	872	626	109	2154
gene-LtaPh_3518600	BLBS01000056.1	474636	476078	+	1443	646	1762	1574	881	157	3232
gene-LtaPh_3518700	BLBS01000056.1	477343	478167	+	825	531	2504	1361	1162	152	3088
gene-LtaPh_3518800	BLBS01000056.1	480107	482326	+	2220	1402	3769	2666	2316	341	5964
gene-LtaPh_3518901	BLBS01000056.1	483628	484008	+	381	626	1261	1050	724	154	2283
gene-LtaPh_3519000	BLBS01000056.1	485438	486094	+	657	1125	2351	1918	1436	331	3636
gene-LtaPh_3519100	BLBS01000056.1	489639	491768	+	2130	227	719	359	411	53	1069
gene-LtaPh_3519200	BLBS01000056.1	498436	500643	+	2208	261	600	492	350	62	1005
gene-LtaPh_3501000	BLBS01000056.1	502161	503372	+	1212	1792	4179	2901	5416	569	7352
gene-LtaPh_3502861	BLBS01000056.1	504383	505300	+	918	1803	4308	2904	5393	533	6963
gene-LtaPh_3504721	BLBS01000056.1	506459	507376	+	918	1653	4057	2800	5324	570	6897
gene-LtaPh_3506581	BLBS01000056.1	508526	509443	+	918	1694	4159	2933	5371	561	7184
gene-LtaPh_3508441	BLBS01000056.1	510605	511522	+	918	1619	4125	2949	5256	555	6954
gene-LtaPh_3510301	BLBS01000056.1	512643	513644	-	1002	9	25	23	32	1	49
gene-LtaPh_3512161	BLBS01000056.1	512679	513596	+	918	1728	4215	2965	5421	599	7225
gene-LtaPh_3514021	BLBS01000056.1	518460	519353	-	894	6	34	20	28	7	57
gene-LtaPh_3515881	BLBS01000056.1	518601	519215	+	615	5298	14831	8310	15768	1961	21652
gene-LtaPh_3517741	BLBS01000056.1	520193	520510	+	318	744	2373	1061	2230	319	3671
gene-LtaPh_3519600	BLBS01000056.1	521194	522168	+	975	363	504	712	499	72	1092
gene-LtaPh_3519700	BLBS01000056.1	522955	524346	+	1392	225	551	351	319	54	649
gene-LtaPh_3519800	BLBS01000056.1	525034	526890	+	1857	213	469	279	212	47	904
gene-LtaPh_3519900	BLBS01000056.1	527609	528316	+	708	292	1055	420	436	86	836
gene-LtaPh_3520000	BLBS01000056.1	529876	530511	+	636	330	549	435	308	101	1050
gene-LtaPh_3520200	BLBS01000056.1	533301	535067	+	1767	522	1555	863	993	153	2626
gene-LtaPh_3520300	BLBS01000056.1	536218	539400	+	3183	560	2241	1178	1422	143	3586
gene-LtaPh_3520400	BLBS01000056.1	540530	543277	+	2748	852	1621	1301	1056	165	2784
gene-LtaPh_3520501	BLBS01000056.1	544580	545329	+	750	6659	22648	10133	17313	2024	29609
gene-LtaPh_3520600	BLBS01000056.1	547041	548162	+	1122	755	1250	1319	831	128	2667
gene-LtaPh_3520700	BLBS01000056.1	550122	554375	+	4254	1025	2037	1482	1033	197	2916
gene-LtaPh_3520800	BLBS01000056.1	555779	562414	+	6636	1439	3609	2008	1974	269	4915
gene-LtaPh_3520851	BLBS01000056.1	561129	566960	+	5832	2284	5168	3628	2821	508	7667
gene-LtaPh_3520900	BLBS01000056.1	568048	568449	+	402	6193	14951	8029	21946	1801	21429
gene-LtaPh_3521000	BLBS01000056.1	569716	571158	+	1443	520	1246	631	826	125	2102
gene-LtaPh_3521100	BLBS01000056.1	572134	574254	+	2121	1825	2599	2953	2190	392	6240
gene-LtaPh_3521200	BLBS01000056.1	580640	584266	+	3627	2097	5747	3298	3206	460	8077
gene-LtaPh_3521300	BLBS01000056.1	587229	588995	+	1767	456	1312	781	880	108	2210
gene-LtaPh_3521500	BLBS01000056.1	597251	599563	+	2313	1852	3758	3109	2070	419	5401
gene-LtaPh_3521600	BLBS01000056.1	604007	604945	+	939	672	1447	1341	1471	173	3491
gene-LtaPh_3521700	BLBS01000056.1	606147	607001	+	855	481	1488	821	914	127	2477
gene-LtaPh_3521800	BLBS01000056.1	608066	609580	+	1515	53	126	96	57	21	121
gene-LtaPh_3521900	BLBS01000056.1	613640	615280	+	1641	868	2518	1683	1437	263	2872
gene-LtaPh_3522000	BLBS01000056.1	615856	617304	+	1449	2972	4949	5720	5148	718	11682
gene-LtaPh_3522100	BLBS01000056.1	618723	619811	+	1089	185	433	336	158	41	576
gene-LtaPh_3522200	BLBS01000056.1	622245	623660	+	1416	407	875	627	588	108	1914
gene-LtaPh_3522300	BLBS01000056.1	624750	627926	+	3177	1666	3515	3186	1526	372	5773
gene-LtaPh_3522361	BLBS01000056.1	628580	629065	-	486	8	39	26	33	4	45
gene-LtaPh_3522421	BLBS01000056.1	628614	629108	+	495	8415	20728	11795	27122	2639	31086
gene-LtaPh_3522500	BLBS01000056.1	630416	631240	+	825	138	355	228	203	39	471
gene-LtaPh_3524700	BLBS01000056.1	637922	638200	+	279	4608	4973	8196	3504	1111	13678
gene-LtaPh_3524001	BLBS01000056.1	640764	641042	+	279	6398	6488	11132	4558	1572	15240
gene-LtaPh_3523301	BLBS01000056.1	642722	643000	+	279	2986	2864	5603	2962	761	10753
gene-LtaPh_3522600	BLBS01000056.1	644670	645545	+	876	481	1084	873	664	135	1659
gene-LtaPh_3522700	BLBS01000056.1	646715	648280	+	1566	542	1251	1120	664	131	2040
gene-LtaPh_3522800	BLBS01000056.1	650088	658931	+	8844	1956	5209	3160	3224	351	8818
gene-LtaPh_3522900	BLBS01000056.1	660652	662232	+	1581	1302	2597	1818	1216	283	3441
gene-LtaPh_3523000	BLBS01000056.1	664280	669166	+	4887	2969	7403	4643	4320	573	11373
gene-LtaPh_3523100	BLBS01000056.1	671096	672484	+	1389	539	1408	992	872	141	2272
gene-LtaPh_3523200	BLBS01000056.1	673357	677919	+	4563	781	1943	1321	1100	160	3065
gene-LtaPh_3523300	BLBS01000056.1	678437	679918	+	1482	827	1881	1396	1106	161	2662
gene-LtaPh_3523400	BLBS01000056.1	681022	681783	+	762	609	1294	890	754	115	1746
gene-LtaPh_3523500	BLBS01000056.1	684891	688259	+	3369	573	961	856	988	90	2575
gene-LtaPh_3523600	BLBS01000056.1	691652	694411	+	2760	1047	3313	1555	2308	269	4586
gene-LtaPh_3523700	BLBS01000056.1	697624	699657	+	2034	1304	3227	1863	2093	217	5293
gene-LtaPh_3523800	BLBS01000056.1	700726	702180	+	1455	1282	2092	2111	1836	278	5330
gene-LtaPh_3523900	BLBS01000056.1	702685	703284	+	600	736	1704	1163	1414	176	3162
gene-LtaPh_3524000	BLBS01000056.1	704254	706947	+	2694	1659	3854	2455	2282	322	5584
gene-LtaPh_3524100	BLBS01000056.1	709200	713345	+	4146	501	839	891	716	88	1871
gene-LtaPh_3524200	BLBS01000056.1	719854	720321	+	468	477	955	728	670	113	1530
gene-LtaPh_3524300	BLBS01000056.1	721650	727025	+	5376	1822	3382	3163	3004	307	8245
gene-LtaPh_3524400	BLBS01000056.1	730700	730855	+	156	30	147	62	69	8	193
gene-LtaPh_3524500	BLBS01000056.1	735194	736450	+	1257	459	1328	819	904	102	2582
gene-LtaPh_3524600	BLBS01000056.1	746271	748655	+	2385	126	275	239	234	31	576
gene-LtaPh_3524800	BLBS01000056.1	750878	751702	+	825	519	883	886	669	140	1612
gene-LtaPh_3524900	BLBS01000056.1	757329	764258	+	6930	723	2099	1263	1594	154	3920
gene-LtaPh_3525000	BLBS01000056.1	766356	767531	+	1176	758	2455	1796	1630	236	5359
gene-LtaPh_3525100	BLBS01000056.1	768949	769977	+	1029	918	2955	2011	1864	280	4679
gene-LtaPh_3525200	BLBS01000056.1	771095	776020	+	4926	1372	4189	2468	2250	306	6333
gene-LtaPh_3525300	BLBS01000056.1	777941	779602	+	1662	875	2061	1518	1390	178	4018
gene-LtaPh_3525400	BLBS01000056.1	780925	781260	+	336	492	1121	843	806	153	1582
gene-LtaPh_3525431	BLBS01000056.1	780939	781229	-	291	2	0	2	0	0	0
gene-LtaPh_3525461	BLBS01000056.1	781676	783361	+	1686	952	1448	1953	1080	222	2897
gene-LtaPh_3525500	BLBS01000056.1	784405	785424	+	1020	837	1908	1623	1106	215	3033
gene-LtaPh_3525600	BLBS01000056.1	786192	786839	+	648	421	907	681	476	102	1323
gene-LtaPh_3525700	BLBS01000056.1	789559	790914	+	1356	789	3016	1720	2069	228	4202
gene-LtaPh_3525800	BLBS01000056.1	793560	796058	+	2499	74	247	103	113	26	266
gene-LtaPh_3525900	BLBS01000056.1	798982	799638	+	657	455	828	764	562	126	1549
gene-LtaPh_3526000	BLBS01000056.1	801079	801651	+	573	484	1380	994	1142	166	2000
gene-LtaPh_3526100	BLBS01000056.1	802189	803427	+	1239	794	1233	1513	910	213	2539
gene-LtaPh_3526200	BLBS01000056.1	805466	806530	-	1065	112	498	196	214	34	764
gene-LtaPh_3526300	BLBS01000056.1	807028	808140	-	1113	1007	2899	2093	2279	301	4704
gene-LtaPh_3526400	BLBS01000056.1	808711	810930	-	2220	477	1559	811	957	118	2457
